Which movie won the Oscar for Best Picture at the 2017 Academy Awards ceremony,1. Hell or High Water,2. Hacksaw Ridge,3. Manchester by the Sea,4. Moonlight,3
Who won his first Oscar in 2016 taking home the Best Actor trophy?,1. Chris Pratt,2. Leonarda DiCaprio,3. Mark Ruffalo,4. Sylvester Stallone,2
"What celebrity's passing forced millions of people to declare 2016 the ""worst year ever""?",1. Carrie Fisher,2. Prince,3. David Bowie,4. All of the above,4
What British actor was linked to Taylor Swift following her breakup with Calvin Harris?,1. Benedict Cumberbatch,2. James Corden,3. Daniel Craig,4. Tom Hiddleston,4
"What group sings ""Cake by the Ocean""?",1. DNCE,2. COIN,3. Mayday Parade,4. The Maine,1
What movie is a remake of a 1984 movie and stars a female cast including Melissa McCarthy and Kristen Wiig?,1. Bridesmaides,2. Ghostbusters,3. Star Wars,4. Love Rosie,2
"What artist sings the hit song ""What Do You Mean""?",1. Austin Mahone,2. Shawn Mendes,3. Justin Bieber,4. Drake,3
What movie was top at the box office in 2016?,1. Manchester by the Sea,2. Rogue One: A Star Wars Story,3. Lala Land,4. Moonlight,2
"What artist is responsible for the hit ""One Dance""?",1. Drake,2. Kanye West,3. Kendrick Lamar,4. Lil Wayne,1
"Which of the following actors stars in the hit sitcom ""How I Met Your Mother""?",1. Allison Hannigan,2. Colbie Smulders,3. Jason Segel,4. All of the above,4
Which of these movies has not released a sequel this year so far?,1. The Secret Life of Pets,2. Fifty Shades of Grey,3. Guardians of the Galaxy,4. Trainspotting,1
"WhatÍs the title of the hit single from Kendrick LamarÍs new album, Damn?",1. Humble,2. King Kunta,3. i,4. Poetic Justice,1
Who starred as Belle in DisneyÍs live action Beauty and the Beast?,1. Millie Bobby Brown,2. Emma Watson,3. Emilia Clark,4. Ellen Page,2
Which of these musicians has not taken part in James CordonÍs Carpool Karaoke segment on The Late Late Show?,1. Lady Gaga,2. Beyonce,3. Bruno Mars,4. Justin Bieber,2
What strange word/typo did President Trump recently tweet that had everyone trying to figure out what he meant?,1. Bibble,2. Blurp,3. Covfefe,4. Ratoon,3
Which of these TV shows did not end in 2017?,1. Bates Motel,2. Last Man Standing,3. The Leftovers,4. Once Upon a Time,4
Which of the following is NOT a Fantastic Beast?,1. Demiguise,2. Rhinowonk,3. Erumpet,4. Niffler,2
"Which Jonas brother fronts the band, DNCE?",1. Kevin,2. Nick,3. Joe,4. Frankie,3
"Finish this lyric from the Chainsmokers' ""Closer"": ""Stay and play that blink-182 song / That we beat to death inƒ""?",1. Boulder,2. Boise,3. Tucson,4. Albuquerque,1
"In the pilot episode of hit TV show Gossip Girl, Serena returns to New York City after a year away. Where was she?",1. Playing hooky in the Hamptons,2. Boarding school,3. Interning in Los Angeles,4. Searching for her dad in Europe,2
